"hotel","tahun","lama_inap","dewasa","anakanak","balita","negara","sistem_boking","tipe_kamar","tipe_tamu","total","keterangan","tanggal_transaksi","ID"
"Resort Hotel",2015,1,2,0,0,"PRT","Langsung","VIP","Sementara",0,"Check-Out",2015-07-01,43
"Resort Hotel",2015,1,2,0,0,"PRT","Langsung","VIP","Sementara",0,"Check-Out",2015-07-01,77
"Resort Hotel",2015,1,1,0,0,"GBR","Langsung","VIP","Sementara",75,"Check-Out",2015-07-02,95
"Resort Hotel",2015,1,1,0,0,"GBR","Aplikasi","VIP","Sementara",75,"Check-Out",2015-07-02,75
"Resort Hotel",2015,2,2,0,0,"GBR","Call-Center","VIP","Sementara",98,"Check-Out",2015-07-03,68
"Resort Hotel",2015,2,2,0,0,"GBR","Call-Center","VIP","Sementara",98,"Check-Out",2015-07-03,100
"Resort Hotel",2015,2,2,0,0,"PRT","Langsung","VIP","Sementara",107,"Check-Out",2015-07-03,64
"Resort Hotel",2015,2,2,0,0,"PRT","Langsung","VIP","Sementara",103,"Check-Out",2015-07-03,33
"Resort Hotel",2015,3,2,0,0,"PRT","Call-Center","VIP","Sementara",82,"Check-In",2015-05-06,57
"Resort Hotel",2015,3,2,0,0,"PRT","Call-Center","EXC","Sementara",105.5,"Check-In",2015-04-22,18
"Resort Hotel",2015,4,2,0,0,"PRT","Call-Center","EXC","Sementara",123,"Check-In",2015-06-23,68
"Resort Hotel",2015,4,2,0,0,"PRT","Call-Center","EXC","Sementara",145,"Check-Out",2015-07-05,46
"Resort Hotel",2015,4,2,0,0,"USA","Call-Center","EXC","Sementara",97,"Check-Out",2015-07-05,98
"Resort Hotel",2015,4,2,1,0,"ESP","Call-Center","EXC","Sementara",154.77,"Check-Out",2015-07-05,49
"Resort Hotel",2015,4,2,0,0,"PRT","Call-Center","EXC","Sementara",94.71,"Check-Out",2015-07-05,4
"Resort Hotel",2015,4,2,0,0,"IRL","Call-Center","EXC","Sementara",97,"Check-Out",2015-07-05,56
"Resort Hotel",2015,4,2,0,0,"PRT","Call-Center","EXC","Kontrak",97.5,"Check-Out",2015-07-05,92
"Resort Hotel",2015,1,2,0,0,"IRL","Call-Center","EXC","Sementara",88.2,"Check-Out",2015-07-02,54
"Resort Hotel",2015,1,2,0,0,"FRA","Aplikasi","EXC","Sementara",107.42,"Check-Out",2015-07-02,2
"Resort Hotel",2015,4,2,0,0,"GBR","Langsung","EXC","Sementara",153,"Check-Out",2015-07-05,34
"Resort Hotel",2015,4,1,0,0,"GBR","Call-Center","EXC","Sementara",97.29,"Check-Out",2015-07-06,57
"Resort Hotel",2015,4,2,0,0,"PRT","Langsung","VIP","Sementara",84.67,"Check-Out",2015-07-07,72
"Resort Hotel",2015,4,2,0,0,"PRT","Langsung","VIP","Sementara",84.67,"Check-Out",2015-07-07,11
"Resort Hotel",2015,4,2,0,0,"PRT","Langsung","EXC","Sementara",99.67,"Check-Out",2015-07-07,75
"Resort Hotel",2015,5,2,0,0,"GBR","Call-Center","EKO","Kontrak",94.95,"Check-Out",2015-07-01,58
"Resort Hotel",2015,5,2,0,0,"PRT","Call-Center","EXC","Sementara",63.6,"Check-Out",2015-07-08,12
"Resort Hotel",2015,5,2,0,0,"IRL","Call-Center","EXC","Kontrak",79.5,"Check-Out",2015-07-08,61
"Resort Hotel",2015,5,2,0,0,"PRT","Call-Center","EXC","Sementara",107,"Check-In",2015-05-11,94
"Resort Hotel",2015,5,2,0,0,"PRT","Call-Center","VIP","Sementara",94,"Check-Out",2015-07-08,16
"Resort Hotel",2015,5,2,0,0,"PRT","Call-Center","EXC","Sementara",87.3,"Check-Out",2015-07-08,53
"Resort Hotel",2015,11,1,0,0,"NULL","Langsung","VIP","Sementara",62,"Check-Out",2015-07-15,93
"Resort Hotel",2015,11,2,0,0,"GBR","Call-Center","EXC","Sementara",63.86,"Check-Out",2015-07-16,54
"Resort Hotel",2015,8,2,0,0,"PRT","Langsung","EXC","Sementara",108.3,"Check-In",2015-05-29,89
